State,Year,Column1,Metric,Data,Datum,Raw Data,Adjusted Data,Bookmark,Mountain States,Metric Name
Arkansas,2025,3,Community Life,-0.960065881,,-1.134409223,-0.960065881,,,
Rhode Island,2025,1.1,ce-vt,2.434206956,0.6253,0.02,2.434206956,,,Voter turnout
Rhode Island,2025,1.2,cv-pm,1.857854167,0.089411765,-0.22,1.857854167,,,Share of citizens reporting attending public meeting
Rhode Island,2025,1.3,ce-ao,2.312169369,1.623866882,-0.03,2.312169369,,,"Number of advocacy organizations per 100,000 people"
California,2025,3,Community Life,-2.946330016,,-1.412486202,-2.946330016,,,
South Carolina,2013,1.1,ce-vt,3.430484325,0.647,0.44,3.430484325,,,Voter turnout
South Carolina,2013,1.2,cv-pm,1.124349074,0.079681275,-0.53,1.124349074,,,Share of citizens reporting attending public meeting
South Carolina,2013,1.3,ce-ao,1.994496338,0.565765086,-0.16,1.994496338,,,"Number of advocacy organizations per 100,000 people"
Colorado,2025,3,Community Life,5.507610425,,-0.22893454,5.507610425,,1,
South Carolina,2017,1.1,ce-vt,2.219525252,0.620624,-0.07,2.219525252,,,Voter turnout
South Carolina,2017,1.2,cv-pm,2.18126103,0.093701997,-0.08,2.18126103,,,Share of citizens reporting attending public meeting
South Carolina,2017,1.3,ce-ao,2.108119901,0.944221186,-0.11,2.108119901,,,"Number of advocacy organizations per 100,000 people"
Connecticut,2025,3,Community Life,1.272615606,,-0.821833815,1.272615606,,,
South Carolina,2021,1.1,ce-vt,2.833636131,0.634,0.19,2.833636131,,,Voter turnout
South Carolina,2021,1.2,cv-pm,3.869728109,0.116100767,0.63,3.869728109,,,Share of citizens reporting attending public meeting
South Carolina,2021,1.3,ce-ao,2.05927799,0.78153909,-0.14,2.05927799,,,"Number of advocacy organizations per 100,000 people"
Delaware,2025,3,Community Life,2.076846328,,-0.709241514,2.076846328,,,
South Carolina,2025,1.1,ce-vt,2.255152498,0.6214,-0.05,2.255152498,,,Voter turnout
South Carolina,2025,1.2,cv-pm,2.861266332,0.102722772,0.2,2.861266332,,,Share of citizens reporting attending public meeting
South Carolina,2025,1.3,ce-ao,2.029105623,0.681041307,-0.15,2.029105623,,,"Number of advocacy organizations per 100,000 people"
District of Columbia,2025,3,Community Life,10.25418279,,0.43558559,10.25418279,,,
South Dakota,2013,1.1,ce-vt,1.731762543,0.61,-0.27,1.731762543,,,Voter turnout
South Dakota,2013,1.2,cv-pm,7.263261594,0.161118509,2.05,7.263261594,,,Share of citizens reporting attending public meeting
South Dakota,2013,1.3,ce-ao,1.930532369,0.35271461,-0.19,1.930532369,,,"Number of advocacy organizations per 100,000 people"
Florida,2025,3,Community Life,-3.449134519,,-1.482878833,-3.449134519,,,
South Dakota,2017,1.1,ce-vt,0.866424486,0.591152,-0.64,0.866424486,,,Voter turnout
South Dakota,2017,1.2,cv-pm,4.058834766,0.118609407,0.7,4.058834766,,,Share of citizens reporting attending public meeting
South Dakota,2017,1.3,ce-ao,1.930843736,0.353751706,-0.19,1.930843736,,,"Number of advocacy organizations per 100,000 people"
Georgia,2025,3,Community Life,-0.604513439,,-1.084631881,-0.604513439,,,
South Dakota,2021,1.1,ce-vt,0.583977556,0.585,-0.75,0.583977556,,,Voter turnout
South Dakota,2021,1.2,cv-pm,7.700217417,0.166915052,2.23,7.700217417,,,Share of citizens reporting attending public meeting
South Dakota,2021,1.3,ce-ao,1.910319957,0.285391334,-0.2,1.910319957,,,"Number of advocacy organizations per 100,000 people"
Hawaii,2025,3,Community Life,-1.618889899,,-1.226644586,-1.618889899,,,
South Dakota,2025,1.1,ce-vt,3.109104528,0.64,0.31,3.109104528,,,Voter turnout
South Dakota,2025,1.2,cv-pm,4.061447574,0.118644068,0.71,4.061447574,,,Share of citizens reporting attending public meeting
South Dakota,2025,1.3,ce-ao,1.915449012,0.302475131,-0.2,1.915449012,,,"Number of advocacy organizations per 100,000 people"
Idaho,2025,3,Community Life,6.109089016,,-0.144727538,6.109089016,,1,
Tennessee,2013,1.1,ce-vt,-0.70154163,0.557,-1.29,-0.70154163,,,Voter turnout
Tennessee,2013,1.2,cv-pm,1.363927741,0.082859464,-0.43,1.363927741,,,Share of citizens reporting attending public meeting
Tennessee,2013,1.3,ce-ao,1.944617214,0.399628255,-0.18,1.944617214,,,"Number of advocacy organizations per 100,000 people"
Illinois,2025,3,Community Life,1.165646384,,-0.836809506,1.165646384,,,
Tennessee,2017,1.1,ce-vt,-1.485019663,0.539935,-1.62,-1.485019663,,,Voter turnout
Tennessee,2017,1.2,cv-pm,-0.168032527,0.062536873,-1.07,-0.168032527,,,Share of citizens reporting attending public meeting
Tennessee,2017,1.3,ce-ao,2.182996643,1.193619804,-0.08,2.182996643,,,"Number of advocacy organizations per 100,000 people"
Indiana,2025,3,Community Life,1.418856059,,-0.801360152,1.418856059,,,
Tennessee,2021,1.1,ce-vt,4.210978116,0.664,0.77,4.210978116,,,Voter turnout
Tennessee,2021,1.2,cv-pm,2.167487294,0.093519278,-0.09,2.167487294,,,Share of citizens reporting attending public meeting
Tennessee,2021,1.3,ce-ao,1.972422363,0.492241334,-0.17,1.972422363,,,"Number of advocacy organizations per 100,000 people"
Iowa,2025,3,Community Life,0.808032618,,-0.886875434,0.808032618,,,
Tennessee,2025,1.1,ce-vt,0.1753661,0.5761,-0.93,0.1753661,,,Voter turnout
Tennessee,2025,1.2,cv-pm,2.906694877,0.103325416,0.22,2.906694877,,,Share of citizens reporting attending public meeting
Tennessee,2025,1.3,ce-ao,1.977059705,0.507687341,-0.17,1.977059705,,,"Number of advocacy organizations per 100,000 people"
Kansas,2025,3,Community Life,3.910021983,,-0.452596922,3.910021983,,,
Texas,2013,1.1,ce-vt,-1.573858221,0.538,-1.66,-1.573858221,,,Voter turnout
Texas,2013,1.2,cv-pm,1.201826609,0.080709072,-0.5,1.201826609,,,Share of citizens reporting attending public meeting
Texas,2013,1.3,ce-ao,1.916055446,0.304495036,-0.2,1.916055446,,,"Number of advocacy organizations per 100,000 people"
Kentucky,2025,3,Community Life,-0.084890185,,-1.011884626,-0.084890185,,,
Texas,2017,1.1,ce-vt,-0.841800956,0.553945,-1.35,-0.841800956,,,Voter turnout
Texas,2017,1.2,cv-pm,1.084310118,0.079150128,-0.54,1.084310118,,,Share of citizens reporting attending public meeting
Texas,2017,1.3,ce-ao,1.976469055,0.505720012,-0.17,1.976469055,,,"Number of advocacy organizations per 100,000 people"
Louisiana,2025,3,Community Life,-1.505394546,,-1.210755236,-1.505394546,,,
Texas,2021,1.1,ce-vt,3.063193129,0.639,0.29,3.063193129,,,Voter turnout
Texas,2021,1.2,cv-pm,1.503114709,0.084705882,-0.37,1.503114709,,,Share of citizens reporting attending public meeting
Texas,2021,1.3,ce-ao,1.948666138,0.413114364,-0.18,1.948666138,,,"Number of advocacy organizations per 100,000 people"
Maine,2025,3,Community Life,-0.823985509,,-1.115357971,-0.823985509,,,
Texas,2025,1.1,ce-vt,-0.302112454,0.5657,-1.13,-0.302112454,,,Voter turnout
Texas,2025,1.2,cv-pm,1.0854331,0.079165026,-0.54,1.0854331,,,Share of citizens reporting attending public meeting
Texas,2025,1.3,ce-ao,1.949371525,0.415463861,-0.18,1.949371525,,,"Number of advocacy organizations per 100,000 people"
Maryland,2025,3,Community Life,3.034564386,,-0.575160986,3.034564386,,,
United States,2013,1.1,ce-vt,2.099053739,0.618,-0.12,2.099053739,,,Voter turnout
United States,2013,1.2,cv-pm,2.962495713,0.104065655,0.24,2.962495713,,,Share of citizens reporting attending public meeting
United States,2013,1.3,ce-ao,2.441300822,2.053976486,0.03,2.441300822,,,"Number of advocacy organizations per 100,000 people"
Massachusetts,2025,3,Community Life,2.687607258,,-0.623734984,2.687607258,,,
United States,2017,1.1,ce-vt,1.908108229,0.613841,-0.2,1.908108229,,,Voter turnout
United States,2017,1.2,cv-pm,1.975880415,0.090977471,-0.17,1.975880415,,,Share of citizens reporting attending public meeting
