State,State Code,Metric,Year,Value
Hawaii,HI,cl-rel,2013,0.8
Hawaii,HI,cl-ta,2013,1.4
Hawaii,HI,cl-tfn,2013,-0.2
Hawaii,HI,cl-vol,2013,0.0
Hawaii,HI,cv-pm,2013,0.4
Hawaii,HI,fg-act,2013,1.1
Hawaii,HI,fg-br,2013,2.5
Hawaii,HI,fg-play,2013,3.1
Hawaii,HI,fg-read,2013,1.7
Hawaii,HI,fg-sch,2013,-0.1
Hawaii,HI,fg-yorg,2013,0.9
Hawaii,HI,fh-eat,2013,3.7
Hawaii,HI,fh-ed,2013,0.5
Hawaii,HI,fh-ma,2013,1.8
Hawaii,HI,fh-read,2013,3.2
Hawaii,HI,fh-spf,2013,4.3
Hawaii,HI,fh-time,2013,0.2
Hawaii,HI,fh-tv,2013,1.2
Hawaii,HI,fh-uw,2013,1.3
Hawaii,HI,sc-born,2013,1.4
Hawaii,HI,sc-eng-a,2013,-1.2
Hawaii,HI,sc-eng-c,2013,-0.7
Hawaii,HI,sc-mid,2013,2.9
Hawaii,HI,sm-em,2013,1.4
Hawaii,HI,sm-grad,2013,1.2
Hawaii,HI,sm-hr,2013,-0.2
Hawaii,HI,sm-neet,2013,1.1
Hawaii,HI,st-fc,2013,1.3
Hawaii,HI,st-fc trust,2013,2.1
Hawaii,HI,st-fcc,2013,2.8
Hawaii,HI,st-vc,2013,3.2
Idaho,ID,Civic Engagement,2013,11.9
Idaho,ID,Community Life,2013,11.1
Idaho,ID,Family Health,2013,16.1
Idaho,ID,Future Generations,2013,6.8
Idaho,ID,Social Cohesion,2013,7.7
Idaho,ID,Social Mobility,2013,2.5
Idaho,ID,Social Trust,2013,13.7
Idaho,ID,Total,2013,69.8
Idaho,ID,ce-ao,2013,2.0
Idaho,ID,ce-vt,2013,3.1
Idaho,ID,cl-cdd,2013,1.2
Idaho,ID,cl-don,2013,0.5
Idaho,ID,cl-mem,2013,1.4
Idaho,ID,cl-np,2013,0.2
Idaho,ID,cl-npo,2013,0.6
Idaho,ID,cl-porg,2013,0.7
Idaho,ID,cl-rel,2013,2.0
Idaho,ID,cl-ta,2013,2.6
Idaho,ID,cl-tfn,2013,1.0
Idaho,ID,cl-vol,2013,2.3
Idaho,ID,cv-pm,2013,6.8
Idaho,ID,fg-act,2013,0.0
Idaho,ID,fg-br,2013,2.7
Idaho,ID,fg-play,2013,0.7
Idaho,ID,fg-read,2013,1.2
Idaho,ID,fg-sch,2013,0.2
Idaho,ID,fg-yorg,2013,0.9
Idaho,ID,fh-eat,2013,3.1
Idaho,ID,fh-ed,2013,1.6
Idaho,ID,fh-ma,2013,2.7
Idaho,ID,fh-read,2013,3.6
Idaho,ID,fh-spf,2013,1.1
Idaho,ID,fh-time,2013,1.0
Idaho,ID,fh-tv,2013,1.0
Idaho,ID,fh-uw,2013,2.9
Idaho,ID,sc-born,2013,0.1
Idaho,ID,sc-eng-a,2013,2.5
Idaho,ID,sc-eng-c,2013,2.4
Idaho,ID,sc-mid,2013,2.7
Idaho,ID,sm-em,2013,1.1
Idaho,ID,sm-grad,2013,0.1
Idaho,ID,sm-hr,2013,2.7
Idaho,ID,sm-neet,2013,-1.4
Idaho,ID,st-fc,2013,3.4
Idaho,ID,st-fc trust,2013,3.7
Idaho,ID,st-fcc,2013,3.0
Idaho,ID,st-vc,2013,3.7
Illinois,IL,Civic Engagement,2013,5.9
Illinois,IL,Community Life,2013,8.3
Illinois,IL,Family Health,2013,8.8
Illinois,IL,Future Generations,2013,9.4
Illinois,IL,Social Cohesion,2013,4.3
Illinois,IL,Social Mobility,2013,5.0
Illinois,IL,Social Trust,2013,5.8
Illinois,IL,Total,2013,47.5
Illinois,IL,ce-ao,2013,2.0
Illinois,IL,ce-vt,2013,2.0
Illinois,IL,cl-cdd,2013,1.6
Illinois,IL,cl-don,2013,1.6
Illinois,IL,cl-mem,2013,0.3
Illinois,IL,cl-np,2013,1.3
Illinois,IL,cl-npo,2013,0.8
Illinois,IL,cl-porg,2013,1.0
Illinois,IL,cl-rel,2013,1.3
Illinois,IL,cl-ta,2013,1.3
Illinois,IL,cl-tfn,2013,1.3
Illinois,IL,cl-vol,2013,0.7
Illinois,IL,cv-pm,2013,1.9
Illinois,IL,fg-act,2013,1.4
Illinois,IL,fg-br,2013,1.4
Illinois,IL,fg-play,2013,3.0
Illinois,IL,fg-read,2013,1.8
Illinois,IL,fg-sch,2013,1.4
Illinois,IL,fg-yorg,2013,0.4
Illinois,IL,fh-eat,2013,1.6
Illinois,IL,fh-ed,2013,0.5
Illinois,IL,fh-ma,2013,1.0
Illinois,IL,fh-read,2013,2.5
Illinois,IL,fh-spf,2013,1.2
Illinois,IL,fh-time,2013,1.1
Illinois,IL,fh-tv,2013,1.2
Illinois,IL,fh-uw,2013,0.9
Illinois,IL,sc-born,2013,3.3
Illinois,IL,sc-eng-a,2013,0.0
Illinois,IL,sc-eng-c,2013,-0.4
Illinois,IL,sc-mid,2013,1.3
Illinois,IL,sm-em,2013,0.2
Illinois,IL,sm-grad,2013,1.8
Illinois,IL,sm-hr,2013,2.6
Illinois,IL,sm-neet,2013,0.3
