State,State Code,Metric,2013,2017,2021,2025
Connecticut,CT,st-vc,2.9,3.5,3.8,4.2
Delaware,DE,Civic Engagement,12.5,7.2,11.2,9.1
Delaware,DE,Community Life,7.9,13.6,3.7,2.1
Delaware,DE,Family Health,7.6,7.1,1.1,3.6
Delaware,DE,Future Generations,7.2,5.6,4.4,1.4
Delaware,DE,Social Cohesion,6.4,6.9,5.8,4.1
Delaware,DE,Social Mobility,7,8,10.2,13.5
Delaware,DE,Social Trust,5.2,9.8,11.3,14.8
Delaware,DE,Total,53.9,58.3,47.6,48.6
Delaware,DE,ce-ao,1.9,2,1.9,1.9
Delaware,DE,ce-vt,4.6,2.3,4.8,4.5
Delaware,DE,cl-cdd,1.7,1.3,-1.4,-1.7
Delaware,DE,cl-don,1.2,2.5,0.5,0.4
Delaware,DE,cl-mem,0.3,1.3,1.6,0.8
Delaware,DE,cl-np,0.3,0.2,0.4,-0.1
Delaware,DE,cl-npo,1,1.2,1.1,1.1
Delaware,DE,cl-porg,0.8,0.7,0.7,0.7
Delaware,DE,cl-rel,0.8,0.7,-0.1,-0.1
Delaware,DE,cl-ta,1.1,3,0.6,-0.9
Delaware,DE,cl-tfn,2.1,2.4,-1.9,-1.1
Delaware,DE,cl-vol,0.7,1.8,1.2,1.2
Delaware,DE,cv-pm,6,2.9,4.5,2.7
Delaware,DE,fg-act,-0.4,2.2,-2,3.1
Delaware,DE,fg-br,1.3,0.8,0,-0.6
Delaware,DE,fg-play,0,-0.1,0.1,0.1
Delaware,DE,fg-read,1.7,-0.2,0.7,0.2
Delaware,DE,fg-sch,1.7,1.2,1.3,1.1
Delaware,DE,fg-yorg,1.8,1.8,1.5,0.4
Delaware,DE,fh-eat,1.7,1.2,0.3,-2
Delaware,DE,fh-ed,0,0,-2.8,-0.2
Delaware,DE,fh-ma,1.2,1.1,1.1,1.2
Delaware,DE,fh-read,2.7,1.3,0.6,0.4
Delaware,DE,fh-spf,1.8,1.6,1.4,2.3
Delaware,DE,fh-time,0.4,2.1,1,2.7
Delaware,DE,fh-tv,1.2,1.2,0,0
Delaware,DE,fh-uw,-0.3,-0.2,-0.2,-0.2
Delaware,DE,sc-born,-0.1,0,-0.3,-0.6
Delaware,DE,sc-eng-a,2.3,2.3,2.3,1.9
Delaware,DE,sc-eng-c,1.6,2.1,1.8,0.4
Delaware,DE,sc-mid,2.6,2.5,2,2.3
Delaware,DE,sm-em,1.9,1.9,1.9,1.9
Delaware,DE,sm-grad,1.2,1.8,2.4,3.4
Delaware,DE,sm-hr,3.4,3.1,3.3,4.6
Delaware,DE,sm-neet,0.5,1.1,2.6,3.5
Delaware,DE,st-fc,3,4.1,4.3,5.6
Delaware,DE,st-fc trust,0.7,2.7,2.8,4
Delaware,DE,st-fcc,1.4,2.3,2.7,3.3
Delaware,DE,st-vc,0.1,0.7,1.5,1.9
District of Columbia,DC,Community Life,25.8,22.4,19.7,10.3
District of Columbia,DC,Family Health,-1.7,-0.2,0.1,-2.3
District of Columbia,DC,Future Generations,23.4,24.5,21.9,25.6
District of Columbia,DC,Social Mobility,10.7,14.4,12.1,15.6
District of Columbia,DC,Social Trust,-69.8,-26.7,-21.5,-22.6
District of Columbia,DC,ce-ao,23.3,19.3,10.3,19
District of Columbia,DC,ce-vt,8.6,7.9,12.3,2.9
District of Columbia,DC,cl-cdd,2.3,2.3,0,-0.3
District of Columbia,DC,cl-don,-0.2,1.6,2.5,2.4
District of Columbia,DC,cl-mem,2.7,2.6,2.4,2.1
District of Columbia,DC,cl-np,3.3,2.2,2.2,3.3
District of Columbia,DC,cl-npo,8.5,7.2,6.3,4.7
District of Columbia,DC,cl-porg,7.6,7.3,6.6,2.4
District of Columbia,DC,cl-rel,1.1,0,-1.2,-1.2
District of Columbia,DC,cl-ta,-0.5,-1.7,-2.2,-4.2
District of Columbia,DC,cl-tfn,5.2,2.3,3.7,1.9
District of Columbia,DC,cl-vol,1.5,3.2,1.8,2.1
District of Columbia,DC,fg-act,0.7,0.4,-1,-0.2
District of Columbia,DC,fg-br,3.5,2.9,1.7,0.7
District of Columbia,DC,fg-play,4.4,2.9,4.8,3.7
District of Columbia,DC,fg-read,0.1,1.1,-1.1,1.5
District of Columbia,DC,fg-sch,3.3,3.1,3,2.8
District of Columbia,DC,fg-yorg,4.4,7.5,5.1,9.8
District of Columbia,DC,fh-eat,2.3,2.5,5.6,2.5
District of Columbia,DC,fh-ed,-1.5,1,-1.3,2.3
District of Columbia,DC,fh-ma,-5.2,-4.3,-4.6,-4.9
District of Columbia,DC,fh-read,5.6,5.1,6.7,5.4
District of Columbia,DC,fh-spf,-1.5,-1,-1.8,-2.4
District of Columbia,DC,fh-time,-0.7,-3.2,-4.8,-5.5
District of Columbia,DC,fh-tv,1.2,1.2,0,0
District of Columbia,DC,fh-uw,-0.7,-0.3,0.4,-0.1
District of Columbia,DC,sc-born,-1.2,-1.6,-1.3,-1.9
District of Columbia,DC,sc-eng-a,2.3,1.9,1.9,2.1
District of Columbia,DC,sc-eng-c,2.2,0.6,0.2,0.9
District of Columbia,DC,sm-em,7.6,7.6,7.6,7.6
District of Columbia,DC,sm-grad,8.1,9.3,10.2,12
District of Columbia,DC,sm-hr,-5.2,-5.7,-4.8,-5.1
District of Columbia,DC,sm-neet,0.2,3.2,-0.9,1
District of Columbia,DC,st-fc,-16.6,-5.8,-4.9,-5.3
District of Columbia,DC,st-fc trust,-6.6,-6.3,-2.5,-3.3
District of Columbia,DC,st-fcc,-40.5,-7.9,-9.5,-8.4
District of Columbia,DC,st-vc,-6.1,-6.8,-4.6,-5.6
Florida,FL,Civic Engagement,4.3,2.9,6.4,8.3
Florida,FL,Community Life,3.9,4.9,-1.2,-3.4
Florida,FL,Family Health,4.1,4.6,5,5.2
Florida,FL,Future Generations,4.9,2.6,0.8,-0.1
Florida,FL,Social Cohesion,-1.4,-1,-0.9,-1.5
Florida,FL,Social Mobility,0.6,2.4,5.3,7.4
Florida,FL,Social Trust,1.3,2.1,6.4,10.4
Florida,FL,Total,17.5,18.4,21.7,26.3
Florida,FL,ce-ao,2.3,2.4,2.4,2.3
Florida,FL,ce-vt,1.6,1,2.2,4.4
Florida,FL,cl-cdd,0.2,0.1,-1.7,-1.9
Florida,FL,cl-don,-0.7,-0.5,-1.5,-1
Florida,FL,cl-mem,0,1.2,0.1,0.7
Florida,FL,cl-np,0.8,0.6,0.7,0.7
Florida,FL,cl-npo,0.6,0.7,0.6,0.5
Florida,FL,cl-porg,0.8,0.8,0.8,0.7
Florida,FL,cl-rel,1.1,0.8,-0.7,-0.7
Florida,FL,cl-ta,0.8,0.7,0.3,-1
Florida,FL,cl-tfn,1.6,1,0.6,-2.1
Florida,FL,cl-vol,-0.4,0.2,-1.4,-0.5
Florida,FL,cv-pm,0.3,-0.6,1.8,1.6
Florida,FL,fg-act,0.5,1.4,0.5,0.6
Florida,FL,fg-br,0.3,0.2,-0.5,-0.8
Florida,FL,fg-play,2,1.5,1.6,1.2
Florida,FL,fg-read,0.4,0.7,1.1,0.6
Florida,FL,fg-sch,0.2,-0.6,-1,-1.2
Florida,FL,fg-yorg,0.7,0.6,0.4,0.7
Florida,FL,fh-eat,1.5,1.7,5.2,1.2
Florida,FL,fh-ed,-0.7,0.3,-1.7,-0.4
Florida,FL,fh-ma,0.6,0.6,0.8,0.9
Florida,FL,fh-read,1.4,0,-0.6,0.6
Florida,FL,fh-spf,0.9,1.2,1.7,2.3
Florida,FL,fh-time,0.7,0.9,0.5,1.4
Florida,FL,fh-tv,1.2,1.2,0,0
Florida,FL,fh-uw,-0.3,-0.1,-0.1,0
Florida,FL,sc-born,-1.6,-1.5,-1.6,-1.7
Florida,FL,sc-eng-a,-1,-1,-1,-1.1
Florida,FL,sc-eng-c,-0.3,0.1,0.1,-0.3
Florida,FL,sc-mid,1.5,1.4,1.6,1.7
Florida,FL,sm-em,-0.2,-0.2,-0.2,-0.2
Florida,FL,sm-grad,0.3,1,1.7,2.9
Florida,FL,sm-hr,1.7,0.6,1.6,2.5
Florida,FL,sm-neet,-1.1,0.9,2.2,2.3
Florida,FL,st-fc,-1.8,-1.9,0.3,1.9
Florida,FL,st-fc trust,0.5,1.2,2.1,3
Florida,FL,st-fcc,1.9,1.7,2,2.7
Florida,FL,st-vc,0.6,1.1,1.9,2.8
